Store Name,Street Address,Address,Borough,"Zip 
Code",Year Awarded,"Program 
Wave",Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
Los Primos Grocery,1798,Crotona Avenue,Bronx,10457,2015,3,40.842792,-73.893526,6,17,36902,2009916,2029480001,East Tremont
Mills Grocery,1570,Bathgate Avenue,Bronx,10457,2015,3,40.838762,-73.901563,3,16,167,2009581,2029190001,Claremont-Bathgate
Naranjal Grocery,200,East Tremont Avenue,Bronx,10457,2015,3,40.84911,-73.905415,5,15,23302,2007593,2028040005,Mount Hope
Omale New York Grocery,2172,Crotona Avenue,Bronx,10457,2015,3,40.850097,-73.886683,6,15,371,2012768,2030980025,East Tremont
Vasquez Deli Grocery,1959,Clinton Avenue,Bronx,10457,2015,3,40.845028,-73.890002,6,17,371,2012627,2030920044,East Tremont
Webster Food Corp,2031,Webster Avenue,Bronx,10457,2015,3,40.85091,-73.899032,5,15,379,2013300,2031420074,Mount Hope
Almontaser Enterprises LLC,2792,Fulton Street,Brooklyn,11207,2016,3,40.678053,-73.891478,5,37,1198,3397940,3039470017,East New York
Habibi Gourmet Deli,2761,Fulton Street,Brooklyn,11207,2016,3,40.677879,-73.892772,5,37,1146,3083215,3036640045,Cypress Hills-City Line
J & K Grocery,2737,Fulton Street,Brooklyn,11207,2016,3,40.677742,-73.893678,5,37,1146,3083171,3036630042,Cypress Hills-City Line
La Vega Grocery,2772,Fulton Street,Brooklyn,11207,2016,3,40.677936,-73.892268,5,37,1198,3087748,3039460014,East New York
Marien Groceries Corp.,99,Jamaica Avenue,Brooklyn,11207,2016,3,40.678656,-73.896416,5,37,114201,3080596,3034860007,Cypress Hills-City Line
One Apple Grocery Store,609,Wilson Avenue,Brooklyn,11207,2016,3,40.69016,-73.907173,4,37,409,3079530,3034300008,Bushwick North
Plaza Meat Market,100,Cooper Street,Brooklyn,11207,2016,3,40.68619,-73.908898,4,37,403,3079921,3034390035,Bushwick South
Shorty Meat Farm,2949,Fulton Street,Brooklyn,11207,2016,3,40.679549,-73.885916,5,37,117201,3339498,3039390027,Cypress Hills-City Line
Sunny Supermarket,200,Jamaica Avenue,Brooklyn,11207,2016,3,40.68039,-73.892682,5,37,1146,3342632,3039170007,Cypress Hills-City Line
VLT Mini Market Inc.,2837,Fulton Street,Brooklyn,11207,2016,3,40.678348,-73.889747,5,37,1146,3087552,3039350052,Cypress Hills-City Line
Comidas Dominicanas Capellan Deli,1626,Park Avenue,New York,10029,2015,3,40.798843,-73.943587,11,8,184,1051645,1016210035,East Harlem North
Deli Superette,1858,Lexington Avenue,New York,10029,2015,3,40.798118,-73.942006,11,8,182,1052235,1016430015,East Harlem North
Puchito Grocery,2122,2nd Avenue,New York,10029,2015,3,40.792642,-73.940956,11,8,180,1052825,1016810001,East Harlem North
Annabelle Deli,2121,2nd Avenue,New York,10029,2015,3,40.792729,-73.940913,11,8,180,1052437,1016590021,East Harlem North
Juice Bar Deli,308,East 116th Street,New York,10029,2015,3,40.796768,-73.937236,11,8,188,1052929,1016870046,East Harlem North
AA Deli and Grocery,2100,2nd Avenue,New York,10029,2015,3,40.792074,-73.941372,11,8,170,1052801,1016800001,East Harlem South
Mini Market Corps,1690,Lexington Avenue,New York,10029,2015,3,40.79235,-73.946215,11,8,172,1052019,1016340015,East Harlem South
Madison Deli and Grocery,1550,Madison Avenue,New York,10029,2015,3,40.792753,-73.950144,11,8,168,1051507,1016100058,East Harlem South
El Tepeyac Grocery,1621,Lexington Avenue,New York,10029,2015,3,40.789922,-73.947961,11,8,166,1051884,1016300021,East Harlem South
Mi Mexico Mini Market,172,East 104th Street,New York,10029,2015,3,40.790605,-73.946469,11,8,166,1051933,1016310045,East Harlem South
East Side Gourmet Deli,1863,3rd Avenue,New York,10029,2015,3,40.789515,-73.946163,11,8,164,,,East Harlem South
2015 Food Deli,2015,1st Avenue,New York,10029,2015,3,40.788176,-73.941133,11,8,164,1052687,1016750029,East Harlem South
JJ Food  Market,153,East 99th Street,New York,10029,2015,3,40.787686,-73.94923,11,5,166,1051758,1016270023,East Harlem South
Deli Mini Mart,339,East 115th Street,New York,10029,2015,3,40.79565,-73.936703,11,8,188,1052907,1016870021,East Harlem North
Cherry Deli Gourmet,1575,Lexington Avenue,New York,10029,2015,3,40.78874,-73.948825,11,8,166,1051813,1016280050,East Harlem South
Cherry Valley Market,309,East 115th Street,New York,10029,2015,3,40.796167,-73.937941,11,8,188,1052901,1016870005,East Harlem North
Super Fi Emporium,1635,Lexington Avenue,New York,10029,2015,3,40.790501,-73.947538,11,8,166,1089312,1016317501,East Harlem South
NYC Fresh Market,1656,Madison Avenue,New York,10029,2015,3,40.796358,-73.947512,11,9,17402,1085254,1016160001,East Harlem South
Fine Fare,1718,Madison Avenue,New York,10029,2015,3,40.798265,-73.94612,11,9,184,1080504,1016180001,East Harlem North
City Fresh Market,235,East 106th Street,New York,10029,2015,3,40.791026,-73.943359,11,8,170,1084323,1016560001,East Harlem South
1408 Deli & Grocery Corp.,1408,Fulton Avenue,Bronx,10456,2016,4,40.834741,-73.901771,3,16,149,2009720,2029320015,Morrisania-Melrose
2009 Melissa Deli Corp.,621,East 170th Street,Bronx,10456,2016,4,40.834199,-73.900167,3,16,149,2009800,2029360001,Morrisania-Melrose
99 Cent Deli Square,3754,3rd AVE,Bronx,10456,2016,4,40.836328,-73.902603,3,16,169,2009632,2029270007,Claremont-Bathgate
Associated Supermarket,724,East 161st Street,Bronx,10456,2016,4,40.821432,-73.905183,1,17,77,2098384,2026470045,Melrose South-Mott Haven North
Baraka African Market,1345,Webster Avenue,Bronx,10456,2016,4,40.835698,-73.907714,4,16,17702,2009309,2028870165,East Concourse-Concourse Village
College Ave.  Deli and Market Inc.,288,East 168th Street,Bronx,10456,2016,4,40.833333,-73.912802,4,16,175,2002293,2024350015,East Concourse-Concourse Village
First Food Market,3706,3rd Avenue,Bronx,10456,2016,4,40.835694,-73.903052,3,16,14702,2009624,2029260002,Claremont-Bathgate
Food Bazaar,535,East 170th Street,Bronx,10456,2016,4,40.834931,-73.903144,3,16,14702,2009624,2029260002,Claremont-Bathgate
Key Food Supermarket.,340,Pennsylvania Avenue,Bronx,10456,2016,4,,,,,,,,
La Hermadad Supermarket Inc.,193,McClellan Street,Bronx,10456,2016,4,40.832698,-73.917847,4,16,18102,2002752,2024560181,East Concourse-Concourse Village
M&G Food Corp.,391,East 167th Street,Bronx,10456,2016,4,40.830848,-73.910854,4,16,17701,2002074,2024260048,East Concourse-Concourse Village
Soumandji Meat Fish Market,381,East 169th Street,Bronx,10456,2016,4,40.834317,-73.909953,4,16,17702,2007151,2027820147,East Concourse-Concourse Village
Z&F Deli Grocery,3321,Third Avenue,Bronx,10456,2016,4,40.826215,-73.907857,3,17,185,2116712,2023697502,Morrisania-Melrose
Angelic Grocery and Deli Corp,305,Jerome St,Brooklyn,11207,2016,4,40.67425,-73.886974,5,37,1150,3088849,3039980011,East New York
Dama Food Market,2303,Pitkin Avenue,Brooklyn,11207,2016,4,40.673169,-73.887315,5,37,1150,3088841,3039970034,East New York
Danilo's Corp Deli Grocery,731,Schenck Avenue,Brooklyn,11207,2016,4,40.662374,-73.884828,5,42,1104,3097519,3043310059,East New York
George Deli & Grocery,710,Georgia Avenue,Brooklyn,11207,2016,4,40.659602,-73.893566,5,42,1130,3402540,3042960039,East New York (Pennsylvania Ave)
JLC Deli Grocery,653,Liberty Avenue,Brooklyn,11207,2016,4,40.676038,-73.885551,5,37,1170,3088356,3039680042,East New York
Melissa Meat Market,772,Sutter Avenue,Brooklyn,11207,2016,4,40.670122,-73.890085,5,42,1160,3089672,3040410027,East New York
Quezada Deli Grocery,570,Van Siclen Avenue,Brooklyn,11207,2016,4,40.66582,-73.888567,5,42,1124,3090357,3040730052,East New York
Sajoma Deli Grocery,772,Miller Avenue,Brooklyn,11207,2016,4,40.661971,-73.887788,5,42,1122,3096720,3043030037,East New York (Pennsylvania Ave)
"VA Grocery & Deli Corp  
(Brother's Mini Market)",207,Hull Street,Brooklyn,11207,2016,4,40.679876,-73.908009,16,37,369,3041784,3015350057,Ocean Hill
Wild Olive Market,10,East 125th Street,New York,10035,2016,4,40.806215,-73.941807,11,9,198,1085291,1017490066,East Harlem North
Juan Calito Meat Corp./City Fresh,2212,3rd Avenue,New York,10035,2016,4,40.80083,-73.937926,11,8,196,1087272,1017697501,East Harlem North
Prince Deli Grocery,1461,5th Avenue,New York,10035,2016,4,40.80211,-73.945394,11,9,184,1053946,1017450001,East Harlem North
TSM 2ND Ave Gourmet Deli,248,East 119th street,New York,10035,2016,4,40.799408,-73.937479,11,8,188,1054534,1017830028,East Harlem North
Fine Fare Supermarket,2330,1st Avenue,New York,10035,2016,4,40.798278,-73.933731,11,8,192,1054882,1018070048,East Harlem North
Viva Deli,2330,1st Avenue,New York,10035,2016,4,40.798278,-73.933731,11,8,192,1054882,1018070048,East Harlem North
Abdur Sami,2262,2nd Avenue,New York,10035,2016,4,40.797155,-73.937651,11,8,188,1052946,1016880001,East Harlem North
Mis Hijos,2401,2nd Avenue,New York,10035,2016,4,40.801484,-73.934425,11,8,194,1054643,1017880022,East Harlem North
Oasis Gourmet Deli,1966,Madison Avenue,New York,10035,2016,4,40.806313,-73.94024,11,9,198,1054058,1017500056,East Harlem North
Tasty Pick Deli & Grocery,1878,Lexington Avenue,New York,10035,2016,4,40.799202,-73.94121,11,8,182,1052330,1016440156,East Harlem North
K&O Deli Grocery,2288,2nd Avenue,New York,10035,2016,4,40.797964,-73.937061,11,8,188,1052985,1016890004,East Harlem North
Finest Food Corp,315,Pleasant Avenue,New York,10035,2016,4,40.795527,-73.932824,11,8,178,1053088,1017100029,East Harlem North
2001 GOURMET DELI,2001,CLINTON AVE,Bronx,10457,2017,5,40.846375,-73.888858,6,17,371,2012682,2030950057,East Tremont
347 CHABELY DELI GROCERY,347,E 173RD ST,Bronx,10457,2017,5,40.843433,-73.905145,4,15,22902,2007331,2027900057,Mount Hope
ALFONSOS DELI & GROCERY,2236,GRAND CONCOURSE,Bronx,10457,2017,5,40.856256,-73.90064,5,15,38301,2013718,2031580001,Fordham South
AMIGOS GROCERY,551,EAST 172ND ST,Bronx,10457,2017,5,40.839504,-73.899545,3,16,167,2009658,2029290082,Claremont-Bathgate
FELINO GROCERY,1836,ANTHONY AVE,Bronx,10457,2017,5,40.847412,-73.903704,5,15,23302,2007579,2028030001,Mount Hope
FELOMAR GROCERY STORE,154,E 175TH ST,Bronx,10457,2017,5,40.846798,-73.908111,5,15,22901,2007424,2027960028,Mount Hope
HABIBI DELI,2070,CLINTON AVE,Bronx,10457,2017,5,40.847236,-73.888101,6,15,371,2012652,2030940014,East Tremont
LOS PALMARITOS DELI GROCERY,2080,VALENTINE AVE,Bronx,10457,2017,5,40.852753,-73.899897,5,15,379,2013341,2031440001,Mount Hope
PAULINO GROCERY,4378,3RD AVE,Bronx,10457,2017,5,40.850821,-73.893958,6,15,37504,2011850,2030620001,East Tremont
SAER & JAMAL MARKET 2,563,E TREMONT AVE,Bronx,10457,2017,5,40.846509,-73.894814,6,15,37504,2011828,2030600050,East Tremont
CONCOURSE FOOD PLAZA,2096,GRAND CONCOURSE,Bronx,10457,2017,5,40.854042,-73.902295,5,15,23502,2013681,2031560102,Mount Hope
305 GROCERY DELI,305,EAST 181ST ST,Bronx,10457,2017,5,40.854045,-73.899172,5,15,379,2013375,2031440045,Mount Hope
551 REY FOOD,551,E 178TH ST,Bronx,10457,2017,5,40.847528,-73.894599,6,15,37504,2011842,2030610036,East Tremont
ALANTE ALANTE DELI GROCERY,207,MT HOPE PL,Bronx,10457,2017,5,40.84833,-73.905669,5,15,23302,2007592,2028040001,Mount Hope
BANESA DELI GROCERY 2,2007,ANTHONY AVE,Bronx,10457,2017,5,40.851468,-73.902885,5,15,23502,2007758,2028130001,Mount Hope
BODEGA BUILT,601,EAST 180TH STREET,Bronx,10457,2017,5,40.849394,-73.891375,6,15,373,2012024,2030700001,East Tremont
CHICKEN DELI GROCERY,555,EAST 180TH ST,Bronx,10457,2017,5,40.850351,-73.893326,6,15,37504,2011853,2030620015,East Tremont
JJN CORP,1512,WASHINGTON AVE,Bronx,10457,2017,5,40.837956,-73.90315,3,16,169,2009543,2029120001,Claremont-Bathgate
LOS PRIMOS DELI GROCERY,1798,CROTONA AVE,Bronx,10457,2017,5,40.842792,-73.893526,6,17,36902,2009916,2029480001,East Tremont
ZAEL DELI & GROCERY,2160,TIEBOUT AVE,Bronx,10457,2017,5,40.854091,-73.898554,5,15,38302,2013317,2031430130,Fordham South
FINE FARE SUPERMARKET,708,East TREMONT AVE,Bronx,10457,2017,5,40.845227,-73.890771,6,17,36901,2009975,2029500054,East Tremont
C & T DELI GROCERY STORE,2275,WASHINGTON AVE,Bronx,10457,2017,5,40.855028,-73.893336,6,15,385,2011339,2030380027,Claremont-Bathgate
C-TOWN,309,East BURNSIDE AVE,Bronx,10457,2017,5,40.850588,-73.901133,5,15,381,2013524,2031490068,Mount Hope
LOS PRIMOS GROCERY,1965,WEBSTER AVE,Bronx,10457,2017,5,40.849462,-73.899949,5,15,379,2013301,2031420094,Mount Hope
269 MINI MARKET & DELI,269,East BURNSIDE AVE,Bronx,10457,2017,5,40.851333,-73.902133,5,15,381,2013676,2031567501,Mount Hope
JR 2121 DELI GROCERY,2121,BELMONT AVE,Bronx,10457,2017,5,40.849172,-73.889446,6,15,373,2012356,2030810013,East Tremont
